Mach,Cd0
0, 0.5
0.1, 0.692871059
0.3, 0.543910852
0.5, 0.5
0.7, 0.494924399
0.9, 0.544990401
1.0, 0.767172277
1.1, 0.898470164
1.2, 0.81494884
1.5, 0.813599998
10, 0.6
100, 0.6
