,Wind (from south),Wind (from west),Wind (vertical),Wind speed,altitude,hPa,temperature
0,-1.721410691281409,-3.0663958509582248,0.0,3.5165378261625104,192.157367398393,1000,288.19084566843276
1,-1.309015536957704,-3.053674688537428,0.0,3.322416406685174,405.6747171703689,975,286.0747590392995
2,1.1964031353918168,-2.709611536636936,0.0,2.961988376386941,623.3497875175082,950,284.51326677163644
3,5.20735397077297,-1.873515605691799,0.0,5.534130112465348,845.8951674422887,925,283.47117128613485
4,7.326475962209182,-0.6726370384420628,0.0,7.357288264728593,1073.5518220603603,900,282.0287274210965
5,8.342601678558262,3.2280787355050173,0.0,8.945361652258828,1544.2911477061332,850,278.71334650058395
6,5.4527479786187,7.475392158966151,0.0,9.252780579299552,2037.4884078922316,800,276.0663884390807
7,-2.24274506827333,8.483999596591199,0.0,8.775429026333924,3113.763055218401,700,274.0451507640385
8,-6.198103299032204,10.94113583276987,0.0,12.574773867413867,4337.576977498729,600,267.45222285963837
9,-8.492007319050224,10.050076771886708,0.0,13.157440154818083,5736.624739834721,500,256.9597332189555
10,-14.062458362137168,24.536413650257682,0.0,28.280529167669282,7373.614137651355,400,244.16478784781458
11,-19.800355397930414,36.20466851820213,0.0,41.26538617773071,9369.795261446809,300,229.9872962094714
12,-22.25373435948668,50.49711085214678,0.0,55.18321209712786,10583.726693039573,250,225.72484933844157
13,-20.000244316178726,59.9388253682038,0.0,63.18759814415224,12048.992976417163,200,222.5870355894363
14,-13.650819323657897,58.8881445788583,0.0,60.44963556670685,13886.89956987933,150,213.4503449178832
15,-10.33352933315773,40.71196036330723,0.0,42.00292305426767,16361.21267688371,100,205.56272452320974
